turn, FinishedTasks, DisposedTasks, OverflownTasks, Success rate(except overflow), Success rate, CommunicationTime, Messages, ExecutionTime,Leader, NEET Members, ReciprocalLeaders, ReciprocalMembers, 
10, 0, 0, 0, NaN, NaN, 2.96205261809174, 1130.0, 0.0, 65.5, 0.0, 0.0, 0.0, 
20, 1, 13, 0, 0.1, 0.1, 2.9940251572327043, 1780.0, 0.0, 65.5, 268.5, 0.0, 0.0, 
30, 38, 45, 0, 0.46107784431137727, 0.46107784431137727, 3.0167169431875314, 1640.0, 0.0, 65.5, 246.5, 0.0, 0.0, 
40, 29, 51, 0, 0.36645962732919257, 0.36645962732919257, 3.0184450346714167, 1594.5, 0.0, 65.5, 311.0, 0.0, 0.0, 
50, 20, 53, 0, 0.272108843537415, 0.272108843537415, 3.000959703928465, 1516.0, 0.0, 65.5, 335.0, 0.0, 0.0, 
60, 16, 49, 0, 0.24427480916030533, 0.24427480916030533, 2.9783578291022463, 1542.5, 0.0, 65.5, 359.5, 0.0, 0.0, 
70, 14, 51, 0, 0.2153846153846154, 0.2153846153846154, 2.998777981037806, 1575.0, 0.0, 65.5, 345.5, 0.0, 0.0, 
80, 15, 54, 0, 0.2158273381294964, 0.2158273381294964, 3.024301191390071, 1526.5, 0.0, 65.5, 355.0, 0.0, 0.0, 
90, 10, 56, 0, 0.15789473684210525, 0.15789473684210525, 3.000193887225355, 1535.5, 0.0, 65.5, 359.0, 0.0, 0.0, 
100, 15, 51, 0, 0.22727272727272727, 0.22727272727272727, 2.989611362869358, 1506.5, 0.0, 65.5, 362.0, 0.0, 0.0, 
110, 11, 46, 0, 0.2, 0.2, 2.980116625525294, 1491.5, 0.0, 65.5, 349.0, 0.0, 0.0, 
120, 18, 50, 0, 0.2647058823529412, 0.2647058823529412, 3.0063167507710764, 1497.0, 0.0, 65.5, 350.0, 0.0, 0.0, 
130, 15, 54, 0, 0.22302158273381295, 0.22302158273381295, 2.9902073732718897, 1539.5, 0.0, 65.5, 366.5, 0.0, 0.0, 
140, 14, 48, 0, 0.232, 0.232, 2.974339510050786, 1539.5, 0.0, 65.5, 356.5, 0.0, 0.0, 
150, 14, 55, 0, 0.20863309352517986, 0.20863309352517986, 2.9678281239507625, 1532.5, 0.0, 65.5, 356.5, 0.0, 0.0, 
160, 15, 52, 0, 0.22388059701492538, 0.22388059701492538, 2.987864000382111, 1522.5, 0.0, 65.5, 371.5, 0.0, 0.0, 
